Suite ID	Tool IDs	Description	Suite first commit date	Homepage	Suite version	Suite conda package	Latest suite conda package version	Suite version status	ToolShed categories	EDAM operations	EDAM reduced operations	EDAM topics	EDAM reduced topics	Suite owner	Suite source	Suite parsed folder	bio.tool ID	bio.tool name	bio.tool description	biii ID	Number of tools on UseGalaxy.org (Main)	Number of tools on UseGalaxy.org.au	Number of tools on UseGalaxy.eu	Number of tools on UseGalaxy.fr	Number of tools on APOSTL	Number of tools on BioBix	Number of tools on CIRM-CFBP	Number of tools on ChemFlow	Number of tools on Coloc-stats	Number of tools on CorGAT	Number of tools on CropGalaxy	Number of tools on Dintor	Number of tools on FreeBioinfo	Number of tools on GASLINI	Number of tools on Galaxy@AuBi	Number of tools on Galaxy@Pasteur	Number of tools on GalaxyTrakr	Number of tools on Genomic Hyperbrowser	Number of tools on IPK Galaxy Blast Suite	Number of tools on ImmPort Galaxy	Number of tools on InteractoMIX	Number of tools on Lebanese University Galaxy	Number of tools on MISSISSIPPI	Number of tools on Mandoiu Lab	Number of tools on MiModD NacreousMap	Number of tools on Oqtans	Number of tools on Palfinder	Number of tools on PepSimili	Number of tools on UseGalaxy.be	Number of tools on UseGalaxy.cz	Number of tools on UseGalaxy.no	Number of tools on Viral Variant Visualizer (VVV)	Suite users (last 5 years) (usegalaxy.eu)	Suite users (usegalaxy.eu)	Suite runs (last 5 years) (usegalaxy.eu)	Suite runs (usegalaxy.eu)	Suite users (last 5 years) (usegalaxy.org)	Suite users (usegalaxy.org)	Suite runs (last 5 years) (usegalaxy.org)	Suite runs (usegalaxy.org)	Suite users (last 5 years) (usegalaxy.org.au)	Suite users (usegalaxy.org.au)	Suite runs (last 5 years) (usegalaxy.org.au)	Suite runs (usegalaxy.org.au)	Suite users (last 5 years) (usegalaxy.fr)	Suite users (usegalaxy.fr)	Suite runs (last 5 years) (usegalaxy.fr)	Suite runs (usegalaxy.fr)	Suite runs on main servers	Suite runs (last 5 years) on main servers	Suite users on main servers	Suite users (last 5 years) on main servers	Related Workflows	Related Tutorials
delete_overlapping_indels	delete_overlapping_indels	Delete Overlapping Indels from a chromosome indels file	2013-09-25		1.0.0			To update	Sequence Analysis					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/delete_overlapping_indels	https://github.com/galaxyproject/tools-devteam/tree/main/tools/delete_overlapping_indels					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	5	7	13	40	0	0	0	0	0	0	0	0	0	0	0	0	40	13	7	5		
dewseq	dewseq	DEWSeq is a sliding window based peak caller for eCLIP/iCLIP data	2022-10-20	https://github.com/EMBL-Hentze-group/DEWSeq_analysis_helpers	0.1.0+galaxy0	python		To update	Sequence Analysis, RNA, CLIP-seq					rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dewseq	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dewseq					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	21	21	100	100	0	0	0	0	0	0	0	0	0	0	0	0	100	100	21	21		
dgidb_annotator	dgidb_annotate	Annotates a tabular file with information from the Drug-Gene Interaction Database (http://dgidb.genome.wustl.edu/)	2013-11-28		0.1			To update	Systems Biology, Variant Analysis					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dgidb_annotator	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dgidb_annotator					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	26	32	38	71	0	133	0	304	0	0	0	0	0	0	0	0	375	38	165	26		
diff	diff	GNU diff tool that calculates the differences between two files.	2020-03-29	http://www.gnu.org/software/diffutils/	3.10	diffutils		To update	Text Manipulation					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/diff	https://github.com/bgruening/galaxytools/tree/master/tools/diff					1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	133	133	657	657	37	37	71	71	2	2	115	115	0	0	0	0	843	843	172	172	https://usegalaxy.eu/published/workflow?id=0b568c9735c03360, https://usegalaxy.eu/published/workflow?id=c917db7d7ba7ea6f, https://workflowhub.eu/workflows/1623?version=1, https://workflowhub.eu/workflows/1953?version=1	digital-humanities/introduction_to_dh, digital-humanities/text_mining_chinese
diffbind		Diffbind provides functions for  processing  ChIP-Seq  data.	2015-02-28	http://bioconductor.org/packages/release/bioc/html/DiffBind.html				To update	ChIP-seq					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/diffbind	https://github.com/bgruening/galaxytools/tree/master/tools/diffbind					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
divide_pg_snp	dividePgSnp	Separate pgSnp alleles into columns	2013-09-25		1.0.0			To update	Sequence Analysis					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/divide_pg_snp	https://github.com/galaxyproject/tools-devteam/tree/main/tools/divide_pg_snp					1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	8	10	13	38	17	56	41	176	0	0	0	0	0	0	0	0	214	54	66	25		
dorina	dorina_search	data source for RNA interactions in post-transcriptional regulation	2015-05-20		1.0			To update	RNA, Data Source					rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dorina/	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dorina					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	31	684	1639	0	0	0	0	0	0	0	0	0	0	0	0	1639	684	31	3		
dot2ct	rnastructure_dot2ct	Dot-Bracket to Connect Table (CT)	2015-06-10		5.7.a	rnastructure	6.4	To update	Sequence Analysis, RNA					rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dot2ct	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dot2ct					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
dotknot	dotknot	DotKnot is a heuristic method for pseudoknot prediction in a given RNA sequence	2015-09-17	http://dotknot.csse.uwa.edu.au/	1.3.1	vienna_rna		To update	RNA, Proteomics					bgruening	https://github.com/bgruening/galaxytools/tree/master/tools/rna/dotknot	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/dotknot					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	16	23	91	0	0	0	0	0	0	0	0	0	0	0	0	91	23	16	8		
draw_stacked_barplots	draw_stacked_barplots	Draw Stacked Bar Plots for different categories and different criteria	2013-09-25		1.0.0	R		To update	Graphics, Statistics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/draw_stacked_barplots	https://github.com/galaxyproject/tools-devteam/tree/main/tools/draw_stacked_barplots					0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	61	69	188	252	0	0	0	0	24	39	192	272	8	8	11	11	535	391	116	93		
dwt_cor_ava_perclass	compute_p-values_correlation_coefficients_feature_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Correlation Coefficients for Feature Occurrences	2014-01-27		1.0.1	r-waveslim	1.7.5	To update	Statistics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_cor_ava_perclass	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_cor_ava_perclass					0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	12	176	187	0	0	0	0	187	176	12	9		
dwt_cor_avb_all	compute_p-values_correlation_coefficients_featureA_featureB_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Correlation Coefficients for Occurrences of Two Set of Features	2014-01-27		1.0.1	r-waveslim	1.7.5	To update	Statistics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_cor_avb_all	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_cor_avb_all					0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	164	170	0	0	0	0	170	164	8	7		
dwt_ivc_all	compute_p-values_second_moments_feature_occurrences_between_two_datasets_using_discrete_wavelet_transfom	Compute P-values and Second Moments for Feature Occurrences	2014-01-27		1.0.1	r-waveslim	1.7.5	To update	Statistics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_ivc_all	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_ivc_all					0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	7	161	168	0	0	0	0	168	161	7	5		
dwt_var_perclass	compute_p-values_max_variances_feature_occurrences_in_one_dataset_using_discrete_wavelet_transfom	Compute P-values and Max Variances for Feature Occurrences	2014-01-27		1.0.1	r-waveslim	1.7.5	To update	Statistics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_var_perclass	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_var_perclass					0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	8	170	177	0	0	0	0	177	170	8	7		
dwt_var_perfeature	dwt_var1	Wavelet variance using Discrete Wavelet Transfoms	2014-01-27		1.0.2	r-bitops		To update	Statistics					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/dwt_var_perfeature	https://github.com/galaxyproject/tools-devteam/tree/main/tools/dwt_var_perfeature					1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	4	2	36	4	4	11	11	5	7	207	265	2	2	2	2	314	222	17	12		
edta	edta	The EDTA package was designed to filter out false discoveries in raw TE candidates and generate a high-quality non-redundant TE library for whole-genome TE annotations. 	2022-10-16	https://github.com/oushujun/EDTA		edta	2.2.2	To update	Variant Analysis	De-novo assembly, Deisotoping, Genome annotation	De-novo assembly, Deisotoping, Genome annotation	Workflows, Mobile genetic elements, Plant biology, Transcription factors and regulatory sites, Model organisms	Workflows, Mobile genetic elements, Plant biology, Transcription factors and regulatory sites, Model organisms	bgruening	https://github.com/galaxyproject/tools-iuc/tree/master/tools/edta	https://github.com/bgruening/galaxytools/tree/master/tools/edta	edta	The Extensive de novo TE Annotator (EDTA)	The EDTA package was designed to filter out false discoveries in raw TE candidates and generate a high-quality non-redundant TE library for whole-genome TE annotations. Selection of initial search programs were based on benckmarkings on the annotation performance using a manually curated TE library in the rice genome.		0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	164	164	4750	4750	0	0	0	0	0	0	0	0	0	0	0	0	4750	4750	164	164		
effectivet3	effectiveT3	Find bacterial type III effectors in protein sequences	2013-04-30	http://effectors.org	0.0.21	effectiveT3	1.0.1	To update	Sequence Analysis	Sequence classification	Sequence classification	Sequence analysis	Sequence analysis	peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/effectiveT3	https://github.com/peterjc/pico_galaxy/tree/master/tools/effectiveT3	effectivet3	EffectiveT3	Prediction of putative Type-III secreted proteins.		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
epicseg	epicseg_segment	EpiCSeg is a tool for conducting chromatin segmentation.	2018-03-02	https://github.com/lamortenera/epicseg	@VERSION_STRING@	epicseg	1.0	To update	Epigenetics					rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/epicseg	https://github.com/bgruening/galaxytools/tree/master/tools/epicseg					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	16	22	86	257	0	0	0	0	0	0	0	0	0	0	0	0	257	86	22	16		
erga_ear	make_ear	A tool to compile assembly reports and stastics from assembly pipeline	2024-06-07	https://github.com/ERGA-consortium/EARs/tree/main	24.10.15	reportlab		To update	Sequence Analysis, Assembly					bgruening	https://github.com/ERGA-consortium/EARs/tree/main	https://github.com/bgruening/galaxytools/tree/master/tools/ear					0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	99	99	0	0	0	0	0	0	0	0	0	0	0	0	99	99	4	4		
exparna	exparna	ExpaRNA is a fast, motif-based comparison and alignment tool for RNA molecules.	2015-02-28	http://rna.informatik.uni-freiburg.de/ExpaRNA/Input.jsp	1.0.1	exparna	1.0.1	Up-to-date	RNA					rnateam	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/exparna	https://github.com/bgruening/galaxytools/tree/master/tools/rna_tools/exparna					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
express	express	Quantify the abundances of a set of target sequences from sampled subsequences	2014-01-27		1.1.1	eXpress	1.5.1	To update	RNA					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/express	https://github.com/galaxyproject/tools-devteam/tree/main/tools/express					0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	34	51	235	372	0	117	0	1184	21	61	2444	2995	0	0	0	0	4551	2679	229	55		
fasta_compute_length	fasta_compute_length	Compute sequence length	2014-05-19	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_compute_length	1.0.4	python		To update	Fasta Manipulation					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_compute_length	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_compute_length					1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1172	1456	10749	12600	1571	6133	19547	54934	189	236	5789	6166	21	22	332	342	74042	36417	7847	2953	https://usegalaxy.eu/published/workflow?id=08f41680101a1a45, https://usegalaxy.eu/published/workflow?id=0de5fcc38ef1501d, https://usegalaxy.eu/published/workflow?id=0e492839192d26e0, https://usegalaxy.eu/published/workflow?id=152223c8aed27357, https://usegalaxy.eu/published/workflow?id=1ce406de61de8492, https://usegalaxy.eu/published/workflow?id=2880a32a52d27743, https://usegalaxy.eu/published/workflow?id=29c565eff0080e42, https://usegalaxy.eu/published/workflow?id=2d0400b5d05c6c10, https://usegalaxy.eu/published/workflow?id=2e93613c688ea52e, https://usegalaxy.eu/published/workflow?id=2f053b615d9788bf, https://usegalaxy.eu/published/workflow?id=309969a261189b5f, https://usegalaxy.eu/published/workflow?id=33312e5643279e8a, https://usegalaxy.eu/published/workflow?id=38f12705279b5dfa, https://usegalaxy.eu/published/workflow?id=3cf3dd9727b7ac92, https://usegalaxy.eu/published/workflow?id=4f9f7065975b3f97, https://usegalaxy.eu/published/workflow?id=5f29105e842716db, https://usegalaxy.eu/published/workflow?id=6e1fe7372e93fae0, https://usegalaxy.eu/published/workflow?id=972db4abc51bb3ab, https://usegalaxy.eu/published/workflow?id=a018307be3563f28, https://usegalaxy.eu/published/workflow?id=a31100610fba17a1, https://usegalaxy.eu/published/workflow?id=aada0111f835ce49, https://usegalaxy.eu/published/workflow?id=ada52ba09b462567, https://usegalaxy.eu/published/workflow?id=b556b0a67ad979da, https://usegalaxy.eu/published/workflow?id=b77e3b08092fa73e, https://usegalaxy.eu/published/workflow?id=c696b37d1bf68e9b, https://usegalaxy.eu/published/workflow?id=cc2bc81352d2e2cd, https://usegalaxy.eu/published/workflow?id=df08e520ec3dbcb7, https://usegalaxy.eu/published/workflow?id=e522be58f0bac656, https://usegalaxy.eu/published/workflow?id=eaf01ccb13aad3ec, https://usegalaxy.eu/published/workflow?id=efb58bba65393347, https://usegalaxy.org.au/published/workflow?id=203f9e69152fbb2a, https://usegalaxy.org.au/published/workflow?id=5cfea39918e8632d, https://usegalaxy.org.au/published/workflow?id=6b1b0a945d367b4c, https://usegalaxy.org.au/published/workflow?id=b432a1312859edd2, https://usegalaxy.org.au/published/workflow?id=b808cd1c0090b068, https://usegalaxy.org/published/workflow?id=17d9b233640aefec, https://usegalaxy.org/published/workflow?id=18e7a954c0b6e4bc, https://usegalaxy.org/published/workflow?id=19c9c8cc3c813bda, https://usegalaxy.org/published/workflow?id=1d923ce15c17b1fe, https://usegalaxy.org/published/workflow?id=2f7638035fb889ac, https://usegalaxy.org/published/workflow?id=386d3b300cf05305, https://usegalaxy.org/published/workflow?id=3a92253f57e553bd, https://usegalaxy.org/published/workflow?id=400c1d170f073279, https://usegalaxy.org/published/workflow?id=505c826e8c99d7bf, https://usegalaxy.org/published/workflow?id=55aa743125c2465d, https://usegalaxy.org/published/workflow?id=59347cc210c4cdbc, https://usegalaxy.org/published/workflow?id=7b67ffcf1b7c2232, https://usegalaxy.org/published/workflow?id=85d825931edf4a64, https://usegalaxy.org/published/workflow?id=896d29573ea3e574, https://usegalaxy.org/published/workflow?id=89d3c800d3be6050, https://usegalaxy.org/published/workflow?id=8b7e03f09b0183d9, https://usegalaxy.org/published/workflow?id=8e1c6ad6ff623015, https://usegalaxy.org/published/workflow?id=c03ada2070e9ca8a, https://usegalaxy.org/published/workflow?id=c88fe3dc11bc4905, https://usegalaxy.org/published/workflow?id=cdf5dffbed938d49, https://usegalaxy.org/published/workflow?id=cfa9e6e722b086c8, https://usegalaxy.org/published/workflow?id=d851f8436497dd1c, https://usegalaxy.org/published/workflow?id=fb789920b057fe8d, https://workflowhub.eu/workflows/1632?version=1, https://workflowhub.eu/workflows/1638?version=1, https://workflowhub.eu/workflows/439?version=4, https://workflowhub.eu/workflows/625?version=27, https://workflowhub.eu/workflows/880?version=1	assembly/ecoli_comparison, sequence-analysis/viral_primer_design, single-cell/scatac-batch-correction-snapatac2, single-cell/scatac-standard-processing-snapatac2, variant-analysis/pox-tiled-amplicon
fasta_concatenate_by_species	fasta_concatenate0	Concatenate FASTA alignment by species	2014-05-19		0.0.1	bx-python	0.14.0	To update	Fasta Manipulation					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_concatenate_by_species	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_concatenate_by_species					1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	276	332	39190	42990	580	1506	21098	27311	97	129	1927	2787	6	8	323	344	73432	62538	1975	959	https://usegalaxy.org/published/workflow?id=1d923ce15c17b1fe, https://usegalaxy.org/published/workflow?id=7d005f30cd4853c4	
fasta_filter_by_id	fasta_filter_by_id	Filter FASTA sequences by ID (DEPRECATED)	2017-02-02	https://github.com/peterjc/pico_galaxy/tree/master/tools/fasta_filter_by_id	0.0.7	galaxy_sequence_utils	1.2.0	To update	Fasta Manipulation, Sequence Analysis, Text Manipulation					peterjc	https://github.com/peterjc/pico_galaxy/tree/master/tools/fasta_filter_by_id	https://github.com/peterjc/pico_galaxy/tree/master/tools/fasta_filter_by_id					0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		
fasta_filter_by_length	fasta_filter_by_length	Filter sequences by length	2014-05-19		1.2	python		To update	Fasta Manipulation					devteam	https://github.com/galaxyproject/tools-devteam/tree/master/tools/fasta_filter_by_length	https://github.com/galaxyproject/tools-devteam/tree/main/tools/fasta_filter_by_length					1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	1122	1339	55587	76393	1415	4026	50212	106640	289	358	3630	6298	26	27	437	447	189778	109866	5750	2852	https://usegalaxy.eu/published/workflow?id=08f41680101a1a45, https://usegalaxy.eu/published/workflow?id=0e492839192d26e0, https://usegalaxy.eu/published/workflow?id=1860e02bcb894a64, https://usegalaxy.eu/published/workflow?id=69be516a48761365, https://usegalaxy.eu/published/workflow?id=8b2f53745e720d0f, https://usegalaxy.eu/published/workflow?id=98bfad0c684011e9, https://usegalaxy.eu/published/workflow?id=a018307be3563f28, https://usegalaxy.eu/published/workflow?id=bebcbd6f0ffa55c5, https://usegalaxy.eu/published/workflow?id=d2f75f70c33394ee, https://usegalaxy.org.au/published/workflow?id=9c60b83feaa22415, https://usegalaxy.org.au/published/workflow?id=b59fada651043735, https://usegalaxy.org.au/published/workflow?id=b808cd1c0090b068, https://usegalaxy.org.au/published/workflow?id=fc3c83b11f527977, https://usegalaxy.org/published/workflow?id=1708fdfd1d485434, https://usegalaxy.org/published/workflow?id=529b410bd03b66aa, https://usegalaxy.org/published/workflow?id=81183f40d2f3e395, https://usegalaxy.org/published/workflow?id=927b8f90ad9603a7, https://usegalaxy.org/published/workflow?id=b097fce5358c01e5, https://usegalaxy.org/published/workflow?id=de9c2db125a5ea27, https://workflowhub.eu/workflows/1612?version=1, https://workflowhub.eu/workflows/1616?version=1, https://workflowhub.eu/workflows/1638?version=1, https://workflowhub.eu/workflows/645?version=15	assembly/assembly-with-preprocessing, assembly/ecoli_comparison
